iter	RMSE
0	1681818.75
1	1613270.332
2	1561702.346
3	1513197.827
4	1467765.66
5	1420652.042
6	1385037.959
7	1351962.538
8	1322114.916
9	1291296.957
10	1265706.63
11	1244066.467
12	1218167.984
13	1197754.657
14	1181862.917
15	1168835.375
16	1152339.997
17	1135999.904
18	1122406.979
19	1113472.652
20	1102666.21
21	1091602.435
22	1089695.011
23	1083457.005
24	1078798.398
25	1071851.439
26	1063557.552
27	1062288.551
28	1058462.179
29	1052255.103
30	1046022.211
31	1040059.85
32	1038163.505
33	1031182.998
34	1025446.705
35	1020660.717
36	1016263.286
37	1013129.505
38	1008446.79
39	1006082.319
40	1003002.02
41	1002239.69
42	1000590.345
43	998714.0326
44	995828.7026
45	992305.7156
46	988363.9566
47	987183.4016
48	984121.2361
49	982796.3384
50	978128.802
51	975218.931
52	974239.0605
53	972785.1552
54	970396.3973
55	967933.3597
56	966546.0285
57	964935.4352
58	964051.6931
59	963830.1522
60	962545.6157
61	961325.7811
62	959542.5599
63	958558.1602
64	957887.8818
65	956858.4551
66	956111.0762
67	955008.2839
68	953708.2281
69	950162.8293
70	949252.9127
71	948711.7242
72	947718.6792
73	944103.5538
74	941687.1862
75	940969.3869
76	940199.9475
77	939922.1161
78	938990.5037
79	938341.7497
80	938221.5352
81	937601.7799
82	936964.2213
83	936385.0405
84	935823.472
85	935206.4762
86	935091.8773
87	931585.1764
88	930995.7767
89	930426.9466
90	929147.1
91	929030.5094
92	927056.7896
93	926348.015
94	926238.8014
95	924546.1188
96	920848.0259
97	918020.1344
98	917141.3144
99	916655.4278
